CountryId,Date,TotalConfirmedCases,TotalConfirmedNewCases,TotalDeaths ,TotalNewDeaths,TransmissionClassification,DaysSinceLastReportedCase,
43,2020-01-21,278,278,NULL,NULL,Local transmission,0,
43,2020-01-22,309,31,NULL,NULL,Local transmission,0,
43,2020-01-23,571,262,NULL,NULL,Local transmission,0,
43,2020-01-24,830,259,NULL,NULL,Local transmission,0,
43,2020-01-25,1297,467,NULL,NULL,Local transmission,0,
43,2020-01-26,1985,688,NULL,NULL,Local transmission,0,
43,2020-01-27,2761,776,NULL,NULL,Local transmission,0,
43,2020-01-28,4537,1776,NULL,NULL,Local transmission,0,
43,2020-01-29,5997,1460,NULL,NULL,Local transmission,0,
43,2020-01-30,7736,1739,NULL,NULL,Local transmission,0,
43,2020-01-31,9720,1984,NULL,NULL,Local transmission,0,
43,2020-02-01,11821,2101,NULL,NULL,Local transmission,0,
43,2020-02-02,14411,2590,304,NULL,Local transmission,0,
43,2020-02-03,17238,2827,361,57,Local transmission,0,
43,2020-02-04,20471,3233,425,64,Local transmission,0,
43,2020-02-05,24363,3892,491,66,Local transmission,0,
43,2020-02-06,28060,3697,564,73,Local transmission,0,
43,2020-02-07,31211,3151,637,73,Local transmission,0,
43,2020-02-08,34598,3387,723,86,Local transmission,0,
43,2020-02-09,37251,2653,812,89,Local transmission,0,
43,2020-02-10,40235,2984,909,97,Local transmission,0,
43,2020-02-11,42708,2473,1017,108,Local transmission,0,
43,2020-02-12,44730,2022,1114,97,Local transmission,0,
43,2020-02-13,46550,1820,1114,0,Local transmission,1,
43,2020-02-14,48548,1998,1381,267,Local transmission,0,
43,2020-02-15,50054,1506,1524,143,Local transmission,0,
43,2020-02-16,51174,1120,1666,142,Local transmission,0,
43,2020-02-17,70635,19461,1772,106,Local transmission,0,
43,2020-02-18,72528,1893,1870,98,Local transmission,0,
43,2020-02-19,74280,1752,2006,136,Local transmission,0,
43,2020-02-20,74675,395,2121,115,Local transmission,0,
43,2020-02-21,75569,894,2239,118,Local transmission,0,
43,2020-02-22,76392,823,2348,109,Local transmission,0,
43,2020-02-23,77042,650,2445,97,Local transmission,0,
43,2020-02-24,77262,220,2595,150,Local transmission,0,
43,2020-02-25,77780,518,2666,71,Local transmission,0,
43,2020-02-26,78191,411,2718,52,Local transmission,0,
43,2020-02-27,78630,439,2747,29,Local transmission,0,
43,2020-02-28,78961,331,2791,44,Local transmission,0,
43,2020-02-29,79394,433,2838,47,Local transmission,0,
43,2020-03-01,79968,574,2873,35,Local transmission,0,
43,2020-03-02,80174,206,2915,42,Local transmission,0,
43,2020-03-03,80304,130,2946,31,Local transmission,0,
43,2020-03-04,80422,118,2984,38,Local transmission,0,
43,2020-03-05,80565,143,3015,31,Local transmission,0,
43,2020-03-06,80711,146,3045,30,Local transmission,0,
43,2020-03-07,80813,102,3073,28,Local transmission,0,
43,2020-03-08,80859,46,3100,27,Local transmission,0,
43,2020-03-09,80904,45,3123,23,Local transmission,0,
43,2020-03-10,80924,20,3140,17,Local transmission,0,
43,2020-03-11,80955,31,3162,22,Local transmission,0,
43,2020-03-12,80981,26,3173,11,Local transmission,0,
43,2020-03-13,80991,10,3180,7,Local transmission,0,
43,2020-03-14,81021,30,3194,14,Local transmission,0,
43,2020-03-15,81048,27,3204,10,Local transmission,0,
43,2020-03-16,81077,29,3218,14,Local transmission,0,
43,2020-03-17,81116,39,3231,13,Local transmission,0,
43,2020-03-18,81116,0,3231,0,Local transmission,1,
43,2020-03-19,81174,58,3242,11,Local transmission,0,
43,2020-03-20,81300,126,3253,11,Local transmission,0,
43,2020-03-21,81416,116,3261,8,Local transmission,0,
43,2020-03-22,81498,82,3267,6,Local transmission,0,
43,2020-03-23,81601,103,3276,9,Local transmission,0,
43,2020-03-24,81747,146,3283,7,Local transmission,0,
43,2020-03-25,81848,101,3287,4,Local transmission,0,
43,2020-03-26,81961,113,3293,6,Local transmission,0,
