Province/Region/City,Confirmed Cases
Hubei,11177
Zhejiang,724
Guangdong,683
Henan,566
Hunan,521
Anhui,408
Jiangxi,391
Chongqing,300
Jiangsu,271
Sichuan,254
Shandong,246
Beijing,212
Shanghai,193
Fujian,179
Shaanxi,128
Guangxi,127
Heilongjiang,118
Hebei,113
Yunnan,109
Liaoning,70
Hainan,70
Shanxi,66
Gansu,51
Tianjin,49
Guizhou,46
Inner Mongolia,33
Jilin,31
Ningxia,31
Xinjiang,24
Hong Kong Sar,15
Qinghai,13
Taipei,10
Macao Sar,8
Xizang,1
"",17238
Total,
"",,,,Total (new) cases,Total (new) cases,
"",,,Total (new),,,
"",,Confirmed,with possible or,with site of,,
WHO Regional,cases with,Total (new),,,,
"",Country/Territory/Area,(new),confirmed,transmission,,
Office,travel history,deaths,,,,
"",,cases,transmission,under,,
"",to China,,,,,
"",,,outside of China,investigation,,
"",,,,,,
"",,17238,,,,
"",China*,,,,361 (57),
"",,(2831),,,,
"",,,,,,
Western Pacific,Japan,20,17,3,0,0
"",Republic of Korea,15,8,4,3,0
"",Viet Nam,8 (1),6 (1),2,0,0
"",Singapore,18,18,0,0,0
"",,,,,,
"",Australia,12,12,0,0,0
"",,,,,,
"",Malaysia,8,7,1,0,0
"",Cambodia,1,1,0,0,0
"",Philippines,2,1,0,1,1
"",Thailand,19,18,1,0,0
"",Nepal,1,1,0,0,0
South-East Asia,,,,,,
"",Sri Lanka,1,1,0,0,0
"",,,,,,
"",India,3 (1),3(1),0,0,0
"",United States of,,,,,
Region of the,11 (3),8(1),2(1),(1),0,
"",America,,,,,
Americas,,,,,,
"",Canada,4,3,0,1,0
"",,,,,,
"",France,6,5,1,0,0
"",Finland,1,1,0,0,0
"",Germany,10 (2),2 (2),8,0,0
"",Italy,2,2,0,0,0
European Region,,,,,,
"",Russian Federation,2,2,0,0,0
"",,,,,,
"",Spain,1,0,1,0,0
"",Sweden,1,1,0,0,0
"",United Kingdom,2,1,1,0,0
Eastern,,,,,,
"",United Arab Emirates,5,5,0,0,0
Mediterranean,,,,,,
"",,,,,,
Total Confirmed,,17391,,,,
Total,123 (5),24 (1),6 (1),362 (57),,
cases,(2838),,,,,
"",,,,,,
