"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,Daily,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,,Suspected,,Deaths,"Confirmedcases",Deaths,,,,,,,,,,
"",,,"(10,000s)",Confirmed,,,,,,,,,,,,,,,,
"",City,cases,cases,Deaths,Deaths,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,cases,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,5917,,,398,,,450,,,149,,,64287,,,2495,
Guangdong,11346,3,0,0,1345,6,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,9,,,0,,,1271,,,19,
Zhejiang,5737,0,5,0,1205,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,1,,,0,,,1016,,,4,
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,934,,,1,
Shandong,10047,1,1,0,755,4,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,2,8,0,575,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,1,,,8,,,0,,,527,,,3,
Heilongjiang,3773,0,0,0,480,12,,,,,,,,,,,,,,
"",eijing,,,2154,,,0,,,30,,,0,,,399,,,4,
Shanghai,2424,0,36,0,335,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,311,,,6,
Fujian,3941,0,1,0,293,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,2,,,4,,,0,,,251,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,7,,,0,,,174,,,2,
Hainan,934,0,10,1,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,2,,,0,,,146,,,2,
Tianjin,1560,0,22,0,135,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,4,,,0,,,132,,,0,
Liaoning,4359,0,15,0,121,1,,,,,,,,,,,,,,
"",ilin,,,2704,,,2,,,7,,,0,,,93,,,1,
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,
"",injiang,,,2487,,,0,,,0,,,0,,,76,,,2,
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,4,,,0,,,0,,,74,,,2,
Ningxia,688,0,0,0,71,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,2,,,0,,,0,,,28,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,415,,,620,,,150,,,77262,,,2595,
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
