"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Country/Territory/Area,,"Confirmed*cases (new)",,,Likely place of exposure†,,,"Total cases with site oftransmission underinvestigation (new)",,"Totaldeaths(new)",,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,"China(new)",,,Outside,,,"Inreportingcountry(new)",,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,Total cases with site of,Total,,,,,,
"",,,,,,,,,,,,,,,,,,In,,,,,,,,,,,
"",,,,,,,Confirmed*,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,reporting,,,,,,,,,,,,,,
"",,,Country/Territory/Area,transmission under,deaths,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,China,reporting,,,,,,,,,,,,,,,,,
"",,,,,,,cases (new),,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,country and,,,,,,,,,,,,,,
"",,,,,,,,,,,(new),country,investigation (new),(new),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,outside China,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,(new),,,,,,,,,,,
"",,,,,,,,,,,,,,,(new),,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,estern Pacific Region,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Republic of Korea,,1261 (284),,13 (0),,4 (0),,605 (0),,639 (284),,12 (2),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Japan,,164 (7),,28 (0),,8 (1),,116 (6),,12 (0),,1 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Singapore,,91 (1),,24 (0),,0 (0),,67 (1),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Australia,,23 (1),,12 (0),,8 (1),,3 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Malaysia,,22 (0),,18 (0),,2 (0),,2 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Viet Nam,,16 (0),,8 (0),,0 (0),,8 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Philippines,,3 (0),,3 (0),,0 (0),,0 (0),,0 (0),,1 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Cambodia,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,outh-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Thailand,,40 (3),,23 (0),,0 (0),,7 (0),,10 (3),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,India,,3 (0),,3 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Nepal,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Sri Lanka,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,egion of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,United States of America,,53 (0),,14 (0),,36 (0),,2 (0),,1 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Canada,,10 (0),,7 (0),,1 (0),,1 (0),,1 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,uropean Region,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Italy,,322 (93),,3 (0),,0 (0),,121 (0),,198 (93),,11 (5),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Germany,,18 (2),,2 (0),,2 (2),,14 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,The United Kingdom,,13 (0),,2 (0),,10 (0),,1 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,France,,12 (0),,5 (0),,0 (0),,7 (0),,0 (0),,1 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Austria,,2 (2),,0 (0),,2 (2),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Croatia,,2 (2),,0 (0),,1 (1),,0 (0),,1 (1),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Israel,,2 (0),,0 (0),,2 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Russian Federation,,2 (0),,2 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Spain,,2 (0),,0 (0),,2 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Belgium,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Finland,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Sweden,,1 (0),,1 (0),,0 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Switzerland,,1 (1),,0 (0),,1 (1),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,astern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Iran (Islamic Republic of),,95 (34),,0 (0),,0 (0),,28 (0),,67 (34),,15 (3),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Bahrain,,26 (18),,0 (0),,26 (18),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,United Arab Emirates,,13 (0),,6 (0),,2 (0),,5 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Kuwait,,12 (4),,0 (0),,12 (4),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Iraq,,5 (4),,0 (0),,5 (4),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Oman,,4 (2),,0 (0),,4 (2),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Afghanistan,,1 (0),,0 (0),,1 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Egypt,,1 (0),,0 (0),,0 (0),,1 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Lebanon,,1 (0),,0 (0),,1 (0),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,frican Region,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,Algeria,,1 (1),,0 (0),,1 (1),,0 (0),,0 (0),,0 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,ubtotal for all regions,,,,2227 (459),,,,179 (0),,,,131 (37),,,,988 (7),,,,929 (415),,,,41 (10),,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,"International conveyance‡(Diamond Princess)",,691 (0),,0 (0),,0 (0),,0 (0),,691 (0),,3 (0),,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,rand total§,,,,2918 (459),,,,179 (0),,,,131 (37),,,,988 (7),,,,929 (415),,,,44 (10),,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Territory/Area
Country/Territory/Area
"Confirmed*cases (new)"
Confirmed*
cases (new)
"China(new)"
China
"(new)"
"Inreportingcountry(new)"
In
reporting
country
"(new)"
"Total cases with site oftransmission underinvestigation (new)"
Total cases with site of
transmission under
investigation (new)
"Totaldeaths(new)"
Total
deaths
"(new)"
