"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,cas es,cas es,cases,,,,,,,,,,,,
"",ubei,,,5917,,,401,,,311,,,52,,,65187,,,2615,
Guangdong,11346,0,0,0,1347,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,1,,,0,,,1271,,,19,
Zhejiang,5737,0,2,0,1205,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,1,,,0,,,1016,,,4,
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,934,,,1,
Shandong,10047,1,1,0,756,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,9,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,2,,,7,,,0,,,531,,,3,
Heilongjiang,3773,0,0,0,480,12,,,,,,,,,,,,,,
"",eijing,,,2154,,,0,,,21,,,0,,,400,,,4,
Shanghai,2424,1,46,0,336,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,1,,,0,,,0,,,312,,,6,
Fujian,3941,0,0,0,294,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,2,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,7,,,0,,,174,,,2,
Hainan,934,0,6,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,0,,,0,,,146,,,2,
Tianjin,1560,0,14,0,135,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,1,,,0,,,133,,,0,
Liaoning,4359,0,6,0,121,1,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,2,,,0,,,93,,,1,
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,4,,,0,,,0,,,85,,,2,
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,0,
Ningxia,688,0,2,0,71,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,2,,,0,,,0,,,32,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,412,,,439,,,52,,,78191,,,2718,
"Province/Region/City"
Province/
Region/
City
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
