"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,cas es,cas es,cases,,,,,,,,,,,,
"",ubei,,,5917,,,318,,,332,,,41,,,65914,,,2682,
Guangdong,11346,1,2,0,1348,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,1,,,0,,,1272,,,20,
Zhejiang,5737,0,0,0,1205,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1017,,,4,
Anhui,6324,1,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,1,,,0,,,0,,,935,,,1,
Shandong,10047,0,0,0,756,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,6,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,4,,,4,,,0,,,538,,,3,
Heilongjiang,3773,0,0,0,480,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,0,,,12,,,2,,,410,,,7,
Shanghai,2424,0,36,0,337,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,1,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,4,,,0,,,174,,,2,
Hainan,934,0,5,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,1,,,0,,,146,,,2,
Tianjin,1560,1,24,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,22,0,121,1,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,3,,,0,,,93,,,1,
Hong Kong SAR,745,2,0,0,93,2,,,,,,,,,,,,,,
"",ansu,,,2637,,,0,,,0,,,0,,,91,,,2,
Xinjiang,2487,0,0,1,76,3,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,0,
Ningxia,688,0,0,0,72,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,2,,,0,,,0,,,34,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,331,,,452,,,44,,,78961,,,2791,
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
