"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,Daily,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,,Suspected,,Deaths,"Confirmedcases",Deaths,,,,,,,,,,
"",,,"(10,000s)",Confirmed,,,,,,,,,,,,,,,,
"",City,cases,cases,Deaths,Deaths,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,cases,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,591,,,57,,,6,,,3,,,6690,,,276,
Guangdong,11346,0,1,0,1349,7,,,,,,,,,,,,,,
"",enan,,,960,,,,,,,,,,,,127,,,2,
Zhejiang,5737,0,0,0,1205,1,,,,,,,,,,,,,,
"",unan,,,689,,,,,,,,,,,,101,,,,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,464,,,,,,,,,,,,93,,,,
Shandong,10047,0,0,0,756,6,,,,,,,,,,,,,,
"",iangsu,,,805,,,,,,,,,,,,63,,,,
Chongqing,3102,0,6,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,834,,,,,,,,,,,,53,,,,
Heilongjiang,3773,0,0,0,480,13,,,,,,,,,,,,,,
"",eijing,,,215,,,,,,1,,,,,,41,,,,
Shanghai,2424,0,10,0,337,3,,,,,,,,,,,,,,
"",ebei,,,755,,,,,,,,,,,,31,,,,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,492,,,,,,,,,,,,25,,,,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,483,,,,,,,,,,,,17,,,,
Hainan,934,0,3,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,360,,,,,,,,,,,,14,,,,
Tianjin,1560,0,11,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,371,,,,,,,,,,,,13,,,,
Liaoning,4359,1,11,0,122,1,,,,,,,,,,,,,,
"",ong Kong SAR,,,74,,,,,,,,,,,,9,,,,
Jilin,2704,0,6,0,93,1,,,,,,,,,,,,,,
"",ansu,,,263,,,,,,,,,,,,9,,,,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",nner Mongolia,,,253,,,,,,,,,,,,7,,,,
Ningxia,688,0,1,0,73,0,,,,,,,,,,,,,,
"",aipei and environ,,,235,,,,,,,,,,,,3,,,,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,6,,,,,,,,,,,,1,,,,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,14282,,,57,,,13,,,3,,,7996,,,287,
"Province/Region/City"
Province/
Region/
City
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
