"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,Daily,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,,Suspected,,Deaths,"Confirmedcases",Deaths,,,,,,,,,,
"",,,"(10,000s)",Confirmed,,,,,,,,,,,,,,,,
"",City,cases,cases,Deaths,Deaths,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,cases,,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,5917,,,349,,,880,,,108,,,62031,,,2029,
Guangdong,11346,1,1,0,1332,5,,,,,,,,,,,,,,
"",enan,,,9605,,,4,,,66,,,0,,,1265,,,19,
Zhejiang,5737,2,6,0,1175,0,,,,,,,,,,,,,,
"",unan,,,6899,,,2,,,5,,,0,,,1010,,,4,
Anhui,6324,1,0,0,987,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,1,,,0,,,0,,,934,,,1,
Jiangsu,8051,0,1,0,631,0,,,,,,,,,,,,,,
"",hongqing,,,3102,,,5,,,45,,,0,,,560,,,5,
Shandong,10047,2,10,1,546,4,,,,,,,,,,,,,,
"",ichuan,,,8341,,,6,,,21,,,0,,,520,,,3,
Heilongjiang,3773,6,4,0,476,12,,,,,,,,,,,,,,
"",eijing,,,2154,,,2,,,25,,,0,,,395,,,4,
Shanghai,2424,0,56,1,333,2,,,,,,,,,,,,,,
"",ebei,,,7556,,,1,,,0,,,1,,,307,,,5,
Fujian,3941,0,0,1,293,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,1,,,17,,,0,,,245,,,2,
Shaanxi,3864,3,8,1,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,21,,,1,,,172,,,1,
Hainan,934,5,16,0,168,4,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,2,,,0,,,146,,,2,
Shanxi,3718,0,1,0,131,0,,,,,,,,,,,,,,
"",ianjin,,,1560,,,2,,,57,,,0,,,130,,,3,
Liaoning,4359,0,26,0,121,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,1,,,9,,,0,,,91,,,1,
Jilin,2704,0,0,0,91,2,,,,,,,,,,,,,,
"",injiang,,,2487,,,0,,,0,,,0,,,76,,,1,
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,
"",ingxia,,,688,,,0,,,0,,,0,,,71,,,0,
Hong Kong SAR,745,3,0,1,65,2,,,,,,,,,,,,,,
"",aipei and environs,,,2359,,,2,,,0,,,0,,,24,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,399,,,1277,,,115,,,74675,,,2121,
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
"Country/Territory/Area","Confirmed*cases (new)",Likely place of exposure†,"Total cases with site oftransmission underinvestigation (new)","Totaldeaths(new)",,,,
"",,Likely place of exposure†,,,,,,
"",,"China(new)",,Outside,,"Inreportingcountry(new)",Total cases with site of,Total
"",Country/Territory/,Confirmed*,In,,,,,
"",,,reporting,transmission under,deaths,,,
"",Area,cases (new),China,reporting,,,,
"",,,country and,investigation (new),(new),,,
"",,(new),country,,,,,
"",,,outside,,,,,
"",,,,(new),,,,
"",,,China (new),,,,,
"",estern Pacific Region,,,,,,,
Republic of Korea,104 (53),13 (0),4 (0),72 (43),15 (10),1 (1),,
Japan,85 (12),26 (0),5 (2),46 (7),8 (3),1 (0),,
Singapore,84 (3),23 (0),0 (0),54 (3),7 (0),0 (0),,
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,
Australia,15 (0),12 (0),0 (0),3 (0),0 (0),0 (0),,
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
"",outh-East Asia Region,,,,,,,
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
"",egion of the Americas,,,,,,,
"United States ofAmerica",15 (0),13 (0),0 (0),2 (0),0 (0),0 (0),,
Canada,8 (0),7 (0),0 (0),0 (0),1 (0),0 (0),,
"",uropean Region,,,,,,,
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,
"The UnitedKingdom",9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,
Italy,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,
"",astern Mediterranean Region,,,,,,,
"United ArabEmirates",9 (0),6 (0),0 (0),2 (0),1 (0),0 (0),,
"Iran (IslamicRepublic of)",2 (2),0 (0),0 (0),0 (0),2 (2),2 (2),,
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,
"",ther,,,,,,,
"Internationalconveyance‡(Diamond Princess)",621 (79),0 (0),0 (0),0 (0),621 (79),2 (2),,
"Country/Territory/Area"
Country/Territory/
Area
"Confirmed*cases (new)"
Confirmed*
cases (new)
Likely place of exposure†
Likely place of exposure†
"China(new)"
China
"(new)"
"Inreportingcountry(new)"
In
reporting
country
"(new)"
"Total cases with site oftransmission underinvestigation (new)"
Total cases with site of
transmission under
investigation (new)
"Totaldeaths(new)"
Total
deaths
"(new)"
