"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,,Population,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,,cas es,cas es,cases,,,,,,,,,,,
"",ubei,,,5917,,,409,,,403,,,26,,,65596,,,2641,
Guangdong,11346,0,0,0,1347,7,,,,,,,,,,,,,,
"",enan,,,9605,,,1,,,2,,,1,,,1272,,,20,
Zhejiang,5737,0,0,0,1205,1,,,,,,,,,,,,,,
"",unan,,,6899,,,1,,,0,,,0,,,1017,,,4,
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,934,,,1,
Shandong,10047,0,0,0,756,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,11,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,3,,,4,,,0,,,534,,,3,
Heilongjiang,3773,0,0,1,480,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,10,,,10,,,1,,,410,,,5,
Shanghai,2424,1,33,0,337,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,5,,,0,,,0,,,317,,,6,
Fujian,3941,2,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,3,,,0,,,174,,,2,
Hainan,934,0,4,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,1,,,0,,,146,,,2,
Tianjin,1560,0,20,0,135,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,1,,,0,,,133,,,0,
Liaoning,4359,0,14,0,121,1,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,2,,,0,,,93,,,1,
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,6,,,0,,,0,,,91,,,2,
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,0,
Ningxia,688,1,0,0,72,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,0,,,0,,,0,,,32,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,439,,,508,,,29,,,78630,,,2747,
"Province/Region/City"
Province/
Region/
City
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
