Country,,Total confirmed*,,,Total deaths,,,Transmission,,,Days since last,
"",ountry,,,,,,,,,,,
"",cases (new),(new),classification†,reported case,,,,,,,,
"",estern Pacific Region,,,,,,,,,,,
Republic of Korea,3150 (813),17 (4),Local transmission,0,,,,,,,,
Japan,230 (20),5 (1),Local transmission,0,,,,,,,,
Singapore,98 (2),0 (0),Local transmission,0,,,,,,,,
Australia,24 (1),0 (0),Local transmission,0,,,,,,,,
Malaysia,24 (0),0 (0),Local transmission,1,,,,,,,,
Viet Nam,16 (0),0 (0),Local transmission,16,,,,,,,,
Philippines,3 (0),1 (0),Imported cases only,25,,,,,,,,
Cambodia,1 (0),0 (0),Imported cases only,33,,,,,,,,
New Zealand,1 (0),0 (0),Imported cases only,1,,,,,,,,
"",uropean Region,,,,,,,,,,,
Italy,888 (238),21 (4),Local transmission,0,,,,,,,,
Germany,57 (31),0 (0),Local transmission,0,,,,,,,,
France,57 (19),2 (0),Local transmission,0,,,,,,,,
Spain,32 (7),0 (0),Local transmission,0,,,,,,,,
The United Kingdom,20 (4),0 (0),Local transmission,0,,,,,,,,
Sweden,12 (5),0 (0),Imported cases only,0,,,,,,,,
Switzerland,10 (4),0 (0),Imported cases only,0,,,,,,,,
Norway,6 (2),0 (0),Imported cases only,0,,,,,,,,
Croatia,5 (2),0 (0),Local transmission,0,,,,,,,,
Israel,5 (2),0 (0),Imported cases only,0,,,,,,,,
Austria,5 (1),0 (0),Imported cases only,0,,,,,,,,
Romania,3 (2),0 (0),Imported cases only,0,,,,,,,,
Greece,3 (0),0 (0),Imported cases only,1,,,,,,,,
Denmark,2 (1),0 (0),Imported cases only,0,,,,,,,,
Georgia,2 (1),0 (0),Imported cases only,0,,,,,,,,
Netherlands,2 (1),0 (0),Imported cases only,0,,,,,,,,
Finland,2 (0),0 (0),Imported cases only,3,,,,,,,,
Russian Federation,2 (0),0 (0),Imported cases only,29,,,,,,,,
San Marino,1 (1),0 (0),Local transmission,0,,,,,,,,
North Macedonia,1 (0),0 (0),Imported cases only,3,,,,,,,,
Estonia,1 (0),0 (0),Imported cases only,2,,,,,,,,
Lithuania,1 (0),0 (0),Imported cases only,1,,,,,,,,
Belarus,1 (0),0 (0),Imported cases only,1,,,,,,,,
Belgium,1 (0),0 (0),Imported cases only,25,,,,,,,,
"",outh-East Asia Region,,,,,,,,,,,
Thailand,42 (2),0 (0),Local transmission,0,,,,,,,,
India,3 (0),0 (0),Imported cases only,26,,,,,,,,
Nepal,1 (0),0 (0),Imported cases only,47,,,,,,,,
Sri Lanka,1 (0),0 (0),Imported cases only,33,,,,,,,,
"",astern Mediterranean Region,,,,,,,,,,,
Iran (Islamic Republic of),388 (143),34 (8),Local transmission,0,,,,,,,,
Kuwait,45 (2),0 (0),Imported cases only,0,,,,,,,,
Bahrain,38 (5),0 (0),Imported cases only,0,,,,,,,,
United Arab Emirates,19 (0),0 (0),Local transmission,1,,,,,,,,
Iraq,8 (1),0 (0),Imported cases only,0,,,,,,,,
Oman,6 (0),0 (0),Imported cases only,1,,,,,,,,
Lebanon,2 (0),0 (0),Imported cases only,3,,,,,,,,
Pakistan,2 (0),0 (0),Imported cases only,3,,,,,,,,
Country
ountry
Afghanistan,1 (0),0 (0),Imported cases only,5,,,,,,,,,,
Egypt,1 (0),0 (0),Imported cases only,15,,,,,,,,,,
"",egion of the Americas,,,,,,,,,,,,,
United States of America,62 (3),0 (0),Local transmission,0,,,,,,,,,,
Canada,14 (3),0 (0),Imported cases only,0,,,,,,,,,,
Mexico,2 (2),0 (0),Imported cases only,0,,,,,,,,,,
Brazil,1 (0),0 (0),Imported cases only,3,,,,,,,,,,
"",frican Region,,,,,,,,,,,,,
Algeria,1 (0),0 (0),Imported cases only,4,,,,,,,,,,
Nigeria,1 (0),0 (0),Imported cases only,1,,,,,,,,,,
"",ubtotal for all regions,,,5304 (1318),,,80 (17),,,,,,,
"International conveyance(Diamond Princess) ‡",705 (0),6 (2),Local transmission,3,,,,,,,,,,
"",rand total§,,,6009 (1318),,,86 (19),,,,,,,
