"Province/Region/City","Population(10,000s)",Daily,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,Daily,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,,Suspected,,Deaths,"Confirmedcases",Deaths,,,,,,,,,,
"",,,"(10,000s)",Confirmed,,,,,,,,,,,,,,,,
"",City,cases,cases,Deaths,Deaths,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,cases,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,5917,,,423,,,159,,,45,,,66337,,,2727,
Guangdong,11346,1,0,0,1349,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,1,,,1272,,,21,
Zhejiang,5737,0,0,0,1205,1,,,,,,,,,,,,,,
"",unan,,,6899,,,1,,,1,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,1,,,0,,,935,,,1,
Shandong,10047,0,0,0,756,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,7,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,0,,,2,,,0,,,538,,,3,
Heilongjiang,3773,0,0,0,480,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,1,,,9,,,1,,,411,,,8,
Shanghai,2424,0,28,0,337,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,3,,,0,,,174,,,2,
Hainan,934,0,5,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,1,,,0,,,146,,,2,
Tianjin,1560,0,14,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,15,0,121,1,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,1,,,0,,,0,,,94,,,2,
Jilin,2704,0,3,0,93,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,0,,,0,,,0,,,91,,,2,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",nner Mongolia,,,2534,,,0,,,0,,,0,,,75,,,0,
Ningxia,688,1,0,0,73,0,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,7,,,0,,,0,,,39,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,435,,,248,,,47,,,79394,,,2838,
"Province/Region/City"
Province/
Region/
City
"Population(10,000s)"
Population
"(10,000s)"
Daily
Daily
Cumulative
Cumulative
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
