"Province/Region/City"
Province/
Region/
City
"Province/Region/City","Population(10,000s)",In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",,,,,,In last 24 hours,Cumulative,,,,,,,,,,,,,
"",Province/,,,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,Confirmed,,"Suspectedcases",Deaths,"Confirmedcases",Deaths,,,,,,,,,,,,
"",,,"(10,000s)",Suspected,Confirmed,,,,,,,,,,,,,,,
"",City,cases,Deaths,Deaths,,,,,,,,,,,,,,,,
"",,,,,,,,,cases,cases,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"",ubei,,,5917,,,13,,,6,,,22,,,67773,,,3046,
Guangdong,11346,0,1,0,1353,8,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,0,,,1272,,,22,
Zhejiang,5737,0,0,0,1215,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,935,,,1,
Shandong,10047,1,0,0,759,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,0,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,0,,,0,,,0,,,539,,,3,
Heilongjiang,3773,1,0,0,482,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,6,,,2,,,0,,,435,,,8,
Shanghai,2424,2,18,0,344,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,1,,,0,,,174,,,2,
Hainan,934,0,0,0,168,6,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,0,,,0,,,146,,,2,
Tianjin,1560,0,2,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,1,0,125,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,1,,,0,,,0,,,125,,,2,
Hong Kong SAR,745,5,0,0,120,3,,,,,,,,,,,,,,
"",ilin,,,2704,,,0,,,0,,,0,,,93,,,1,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",ingxia,,,688,,,0,,,0,,,0,,,75,,,0,
Inner Mongolia,2534,0,0,0,75,1,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,2,,,0,,,0,,,47,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,31,,,31,,,22,,,80955,,,3162,
"Population(10,000s)"
Population
"(10,000s)"
In last 24 hours
In last 24 hours
Cumulative
Cumulative
"Suspectedcases"
Suspected
cases
Deaths
Deaths
"Confirmedcases"
Confirmed
cases
Deaths
Deaths
